"K1","ko"
"ko:K08720","ko05111"
"ko:K01649","ko01230"
"ko:K06941",""
"ko:K09710",""
"ko:K01840","ko01250"
"ko:K03786","ko01230"
"ko:K02388","ko02040"
"ko:K09013",""
"ko:K05590",""
"ko:K02671",""
"ko:K03683",""
"ko:K01061","ko01120"
"ko:K01676","ko01200"
"ko:K08602",""
"ko:K02409","ko02040"
"ko:K02407","ko02040"
"ko:K02234",""
"ko:K02277","ko01100"
"ko:K01259","ko01100"
"ko:K12574","ko03018"
"ko:K03634",""
"ko:K00428",""
"ko:K00281","ko01200"
"ko:K00336","ko01100"
"ko:K02340","ko03440"
"ko:K02895","ko03010"
"ko:K01599","ko01240"
"ko:K04757",""
"ko:K12658","ko01100"
"ko:K03820",""
"ko:K01739","ko01230"
"ko:K17321","ko02010"
"ko:K01735","ko01230"
"ko:K01627","ko01250"
"ko:K15762","ko01220"
"ko:K03592",""
"ko:K06910",""
"ko:K00335","ko01100"
"ko:K18702",""
"ko:K00411","ko05415"
"ko:K02160","ko01212"
"ko:K00294","ko01100"
"ko:K00845","ko01250"
"ko:K18335","ko01120"
"ko:K01173","ko04210"
"ko:K03089",""
"ko:K03673","ko01503"
"ko:K01077","ko02020"
"ko:K07708","ko02020"
"ko:K00088","ko01232"
"ko:K00322","ko01100"
"ko:K01956","ko01240"
"ko:K21832","ko01100"
"ko:K01255","ko01100"
"ko:K07263",""
"ko:K09891",""
"ko:K07795","ko02020"
"ko:K17225","ko01120"
"ko:K00133","ko01230"
"ko:K00031","ko05230"
"ko:K00381","ko01120"
"ko:K03110","ko03070"
"ko:K07167",""
"ko:K01027","ko01100"
"ko:K09987",""
"ko:K13609","ko01120"
"ko:K01494","ko01232"
"ko:K00239","ko05134"
"ko:K00185","ko01100"
"ko:K06636","ko04114"
"ko:K02030",""
"ko:K02621",""
"ko:K01012","ko01240"
"ko:K00930","ko01230"
"ko:K03520",""
"ko:K09749",""
"ko:K03168",""
"ko:K09989",""
"ko:K02523","ko01110"
"ko:K01179","ko02020"
"ko:K03600",""
"ko:K00927","ko04066"
"ko:K02056",""
"ko:K12349","ko04071"
"ko:K03147","ko01240"
"ko:K05566",""
"ko:K05807",""
"ko:K02078","ko01110"
"ko:K10018","ko02010"
"ko:K00568","ko01240"
"ko:K16127","ko01054"
"ko:K21826",""
"ko:K03852","ko01100"
"ko:K01436",""
"ko:K00130","ko01100"
"ko:K02622",""
"ko:K09888",""
"ko:K01885","ko01240"
"ko:K03881","ko05415"
"ko:K02536","ko01100"
"ko:K03529",""
"ko:K00413","ko05415"
"ko:K07152",""
"ko:K03074","ko03070"
"ko:K00123","ko01200"
"ko:K07399",""
"ko:K03768",""
"ko:K03654","ko03018"
"ko:K01756","ko01240"
"ko:K03795","ko01240"
"ko:K00432","ko05022"
"ko:K05934","ko01240"
"ko:K08281","ko01240"
"ko:K02982","ko03010"
"ko:K06987",""
"ko:K00647","ko01240"
"ko:K01337",""
"ko:K19203","ko01052"
"ko:K03404","ko01110"
"ko:K00135","ko01120"
"ko:K03149","ko01240"
"ko:K03629","ko03440"
"ko:K00986",""
"ko:K02963","ko03010"
"ko:K00940","ko04016"
