"K1","ko"
"ko:K00620","ko01230"
"ko:K04077","ko05417"
"ko:K12483","ko04144"
"ko:K02132","ko05415"
"ko:K03128","ko03022"
"ko:K15628","ko04146"
"ko:K04139","ko04080"
"ko:K06638",""
"ko:K03257",""
"ko:K06640","ko05170"
"ko:K11855",""
"ko:K00797","ko01110"
"ko:K12405","ko04146"
"ko:K12898",""
"ko:K02993","ko05171"
"ko:K10396","ko05223"
"ko:K12661","ko01120"
"ko:K01288",""
"ko:K09015",""
"ko:K13811","ko01120"
"ko:K00990","ko02020"
"ko:K07451",""
"ko:K02878","ko03010"
"ko:K20783","ko00514"
"ko:K13162","ko04216"
"ko:K01880","ko00970"
"ko:K14572","ko03008"
"ko:K03955","ko05415"
"ko:K01539","ko04978"
"ko:K02864","ko03010"
"ko:K02111","ko01100"
"ko:K02991","ko05205"
"ko:K05925",""
"ko:K01054","ko04923"
"ko:K13577","ko04964"
"ko:K22366",""
"ko:K01535","ko04075"
"ko:K03352","ko05166"
"ko:K17086",""
"ko:K01669",""
"ko:K21806",""
"ko:K19680",""
"ko:K18730",""
"ko:K01885","ko01240"
"ko:K02641","ko01100"
"ko:K18930","ko01100"
"ko:K12322","ko04744"
"ko:K13998","ko01240"
"ko:K09420","ko04151"
"ko:K02552","ko01240"
"ko:K06269","ko05415"
"ko:K02540","ko04113"
"ko:K02896","ko05171"
"ko:K01817","ko01230"
"ko:K06630","ko05203"
"ko:K00616","ko01230"
"ko:K13126","ko03018"
"ko:K17544",""
"ko:K13280","ko03060"
"ko:K02915","ko05171"
"ko:K06225","ko05217"
"ko:K02637","ko01100"
"ko:K01187","ko01110"
"ko:K19626","ko04310"
"ko:K14005","ko04141"
"ko:K08825",""
"ko:K06047",""
"ko:K10360","ko04814"
"ko:K01953","ko01230"
"ko:K02324","ko03420"
"ko:K01267",""
"ko:K12819","ko03040"
"ko:K17917","ko04144"
"ko:K13111",""
"ko:K02974","ko05171"
"ko:K02976","ko05171"
"ko:K15371","ko01120"
"ko:K04885",""
"ko:K00215","ko01230"
"ko:K01528","ko05100"
"ko:K03083","ko05417"
"ko:K08714",""
"ko:K17541",""
"ko:K16900",""
"ko:K15013","ko04920"
"ko:K05349","ko01110"
"ko:K18849",""
"ko:K07874","ko05134"
"ko:K02955","ko05171"
"ko:K01581","ko04148"
"ko:K17302",""
"ko:K11844","ko03083"
"ko:K19942",""
"ko:K01740","ko01100"
"ko:K15275",""
