"K1","ko"
"ko:K14079",""
"ko:K14286","ko01100"
"ko:K11348",""
"ko:K14790",""
"ko:K00884","ko01250"
"ko:K01625","ko01200"
"ko:K19033",""
"ko:K16129","ko01054"
"ko:K15376","ko04727"
"ko:K19748","ko04115"
"ko:K14306","ko05014"
"ko:K01657","ko02025"
"ko:K00821","ko01230"
"ko:K02053","ko02024"
"ko:K15326",""
"ko:K17938",""
"ko:K11159",""
"ko:K02110","ko01100"
"ko:K19589",""
"ko:K16945",""
"ko:K19369",""
"ko:K09054","ko05417"
"ko:K09377","ko04820"
"ko:K18208",""
"ko:K11005",""
"ko:K10532","ko04142"
"ko:K04810","ko05207"
"ko:K12271",""
"ko:K08387","ko04080"
"ko:K13366","ko01100"
"ko:K09561","ko04141"
"ko:K14536","ko03008"
"ko:K21084","ko02026"
"ko:K17923","ko05132"
"ko:K03669",""
"ko:K00005","ko01100"
"ko:K01108","ko04070"
"ko:K16481",""
"ko:K11869",""
"ko:K06129","ko04148"
"ko:K19941",""
"ko:K04910",""
"ko:K16785","ko02010"
"ko:K01560","ko01120"
"ko:K20056",""
"ko:K20129",""
"ko:K15139",""
"ko:K18084",""
"ko:K03778","ko01120"
"ko:K03011","ko05016"
"ko:K22422",""
"ko:K15293","ko04721"
"ko:K07967","ko01100"
"ko:K10450",""
"ko:K04002","ko05133"
"ko:K10878","ko04113"
"ko:K03102","ko04320"
"ko:K07208","ko05231"
"ko:K14634","ko05230"
"ko:K01582","ko01120"
"ko:K02904","ko03010"
"ko:K21438","ko04820"
"ko:K11658","ko03082"
"ko:K20300",""
"ko:K10849","ko03460"
"ko:K12308","ko00052"
"ko:K07762",""
"ko:K06208","ko01230"
"ko:K07525","ko04360"
"ko:K22138","ko05415"
"ko:K10863","ko03410"
"ko:K00049","ko01120"
"ko:K05034","ko04727"
"ko:K06768",""
"ko:K15717","ko01100"
"ko:K07002",""
"ko:K16499",""
"ko:K07814",""
"ko:K10660","ko04137"
"ko:K20366",""
"ko:K06667","ko04111"
"ko:K10563","ko03410"
"ko:K18079",""
"ko:K08451",""
"ko:K20402","ko04150"
"ko:K13071","ko01110"
"ko:K14962","ko03015"
"ko:K04987",""
"ko:K14972",""
"ko:K06877",""
"ko:K20050",""
"ko:K14849",""
"ko:K13174","ko03013"
"ko:K14153","ko01240"
"ko:K16912",""
"ko:K22395","ko01110"
"ko:K15866","ko01120"
"ko:K00757","ko01232"
"ko:K18437","ko05032"
"ko:K20813","ko03410"
"ko:K15627","ko05202"
"ko:K20308",""
"ko:K09969","ko02010"
"ko:K05737","ko05120"
"ko:K06683","ko04392"
"ko:K11271",""
"ko:K17768","ko04137"
"ko:K13963","ko05146"
"ko:K18668",""
"ko:K13086",""
"ko:K01184","ko01100"
"ko:K13140",""
"ko:K14784",""
"ko:K12446","ko01250"
"ko:K14169","ko04122"
"ko:K22078",""
"ko:K20536","ko04626"
"ko:K22381",""
"ko:K18043",""
"ko:K02897","ko03010"
"ko:K01531",""
"ko:K05305","ko01250"
"ko:K04752",""
"ko:K04875",""
"ko:K08368",""
"ko:K13296","ko05032"
"ko:K17286",""
"ko:K20176",""
"ko:K06614",""
"ko:K20495","ko01100"
"ko:K00415","ko05415"
"ko:K04495","ko04310"
"ko:K03304",""
"ko:K06237","ko05222"
"ko:K09591","ko01110"
"ko:K18550","ko01232"
"ko:K02606","ko04113"
"ko:K21841",""
"ko:K13947",""
"ko:K06894",""
"ko:K00944","ko01240"
"ko:K02950","ko03010"
"ko:K03912","ko04610"
"ko:K03580",""
"ko:K10885","ko03450"
"ko:K19936",""
"ko:K02514","ko00534"
"ko:K09536",""
"ko:K17888","ko04140"
"ko:K17413",""
"ko:K03853","ko05131"
"ko:K04352","ko04360"
"ko:K12875","ko03040"
"ko:K10465",""
"ko:K03599",""
"ko:K18066",""
"ko:K11343","ko03082"
"ko:K04797",""
"ko:K12451","ko01250"
"ko:K18629",""
"ko:K18622",""
"ko:K00040","ko01100"
"ko:K12199","ko04144"
"ko:K12190","ko04144"
"ko:K15654","ko02024"
"ko:K16493",""
"ko:K00255","ko03320"
"ko:K19601",""
"ko:K08538",""
"ko:K19384",""
"ko:K03851","ko01100"
"ko:K09941",""
"ko:K00163","ko01210"
"ko:K02360","ko04320"
"ko:K16536","ko04814"
"ko:K02948","ko03010"
"ko:K00965","ko04917"
"ko:K02058",""
"ko:K12883","ko03040"
"ko:K13150",""
"ko:K10261",""
"ko:K10684","ko04120"
"ko:K12889","ko04623"
"ko:K12434",""
"ko:K01376",""
"ko:K01838","ko00500"
"ko:K09188","ko01100"
"ko:K16297",""
"ko:K15777","ko01110"
"ko:K13151","ko03013"
"ko:K19916",""
"ko:K00463","ko05143"
"ko:K05678","ko04980"
"ko:K15116",""
"ko:K02338","ko03440"
"ko:K08880",""
"ko:K00988","ko01120"
"ko:K09567","ko03040"
"ko:K10844","ko03420"
"ko:K18081","ko04070"
"ko:K03859","ko01100"
"ko:K06835",""
"ko:K05369","ko01110"
"ko:K04605","ko05030"
"ko:K14152","ko01230"
"ko:K04716","ko04071"
"ko:K20303",""
"ko:K16496",""
"ko:K08720","ko05111"
"ko:K01621","ko01120"
"ko:K05738","ko04820"
"ko:K13214",""
"ko:K01902","ko01200"
"ko:K07647","ko02020"
"ko:K01852","ko01110"
"ko:K12627","ko03040"
"ko:K17362",""
"ko:K01922","ko01240"
"ko:K20822",""
"ko:K07188","ko04925"
"ko:K08467",""
"ko:K11539","ko01212"
"ko:K18546",""
"ko:K03946","ko05415"
"ko:K20951","ko05111"
"ko:K09748",""
"ko:K20884","ko01240"
"ko:K03789",""
"ko:K17266",""
"ko:K07556",""
"ko:K00599",""
"ko:K06700","ko03050"
"ko:K15273",""
"ko:K05760","ko05205"
"ko:K22125",""
"ko:K14324","ko03015"
"ko:K15271",""
"ko:K05340",""
"ko:K15855","ko01100"
"ko:K12595","ko03018"
"ko:K11967",""
"ko:K06618","ko05226"
"ko:K10804","ko01040"
"ko:K16507","ko04392"
"ko:K06888",""
"ko:K01271",""
"ko:K16755",""
"ko:K01991","ko02026"
"ko:K13161",""
"ko:K05695","ko04931"
"ko:K16279",""
"ko:K06468","ko05169"
"ko:K05948","ko05165"
"ko:K09140",""
"ko:K11497",""
"ko:K13141",""
"ko:K17890","ko05131"
"ko:K09113","ko04932"
"ko:K07943",""
"ko:K01367","ko05131"
"ko:K15528","ko04723"
"ko:K02262","ko05415"
"ko:K11670","ko03082"
"ko:K11126","ko05226"
"ko:K20126",""
"ko:K01198","ko01100"
"ko:K01216",""
"ko:K03290",""
"ko:K19841","ko04011"
"ko:K08863","ko04068"
"ko:K00609","ko01240"
"ko:K19765","ko04212"
"ko:K14512","ko04626"
"ko:K01695","ko01230"
"ko:K14575","ko03008"
"ko:K01117","ko01100"
"ko:K08580",""
"ko:K16459",""
"ko:K02274","ko01100"
"ko:K18203",""
"ko:K04555","ko05022"
"ko:K17766",""
"ko:K14272","ko01230"
"ko:K11314",""
"ko:K03189",""
"ko:K10217","ko01220"
"ko:K06004",""
"ko:K08716",""
"ko:K06622","ko05202"
"ko:K11730",""
"ko:K05282","ko01110"
"ko:K01244","ko01100"
"ko:K19695","ko04740"
"ko:K18050","ko05206"
"ko:K17988","ko05131"
"ko:K00877","ko01240"
"ko:K01320","ko04610"
"ko:K12653","ko05164"
"ko:K01388","ko05417"
"ko:K05460","ko05226"
"ko:K13148",""
"ko:K04967","ko04929"
"ko:K09060",""
"ko:K15613","ko05202"
"ko:K03392","ko01100"
"ko:K07303",""
"ko:K01450",""
"ko:K00478",""
"ko:K11109",""
"ko:K16831",""
"ko:K13607","ko01110"
"ko:K02830","ko04218"
"ko:K10224","ko01212"
"ko:K09157",""
"ko:K14313","ko05014"
"ko:K07166",""
"ko:K16756","ko04814"
"ko:K22140",""
"ko:K17513",""
"ko:K16340","ko04151"
"ko:K00019","ko01100"
"ko:K04628","ko01100"
"ko:K04441","ko05418"
"ko:K07089",""
"ko:K16484",""
"ko:K01732",""
"ko:K21798","ko04070"
"ko:K06416",""
"ko:K00818","ko01230"
"ko:K12165",""
"ko:K13444","ko04142"
"ko:K13612",""
"ko:K16029","ko01052"
"ko:K01483","ko01100"
"ko:K12432",""
"ko:K13115",""
"ko:K21052","ko01100"
"ko:K16526",""
"ko:K10337",""
"ko:K10862","ko03410"
"ko:K09869","ko04976"
"ko:K22020",""
"ko:K17878",""
"ko:K10270",""
"ko:K01022","ko00533"
"ko:K02179","ko04111"
"ko:K00254","ko01240"
"ko:K16387","ko01052"
"ko:K15046",""
"ko:K11577",""
"ko:K08575",""
"ko:K10293",""
"ko:K20318",""
"ko:K22204",""
"ko:K02332","ko04139"
"ko:K09539",""
"ko:K19903",""
"ko:K20628",""
"ko:K09837","ko01110"
"ko:K07961",""
"ko:K19367","ko04144"
"ko:K06777","ko04514"
"ko:K06969",""
"ko:K08211",""
"ko:K06109","ko04530"
"ko:K04972","ko04750"
"ko:K00931","ko01230"
"ko:K02712","ko01100"
"ko:K09955",""
"ko:K08307",""
"ko:K04890",""
"ko:K19829",""
"ko:K16311","ko04922"
"ko:K08097","ko01240"
"ko:K04715","ko01100"
"ko:K06664","ko04146"
"ko:K03071","ko03070"
"ko:K10871","ko03440"
"ko:K05370","ko01110"
"ko:K17760",""
"ko:K01824","ko01110"
"ko:K06279","ko05226"
"ko:K09716",""
"ko:K02533",""
"ko:K02374","ko04210"
"ko:K12478","ko05152"
"ko:K03672",""
"ko:K06062","ko05203"
"ko:K00169","ko01210"
"ko:K03019","ko04623"
"ko:K11420","ko04211"
"ko:K00980","ko00564"
"ko:K06110",""
"ko:K02433","ko01100"
"ko:K05719","ko05414"
"ko:K20307",""
"ko:K19932",""
"ko:K07913",""
"ko:K17546",""
"ko:K12955",""
"ko:K00471","ko01100"
"ko:K07252","ko01100"
"ko:K20235","ko04013"
"ko:K06679","ko05203"
"ko:K01400",""
"ko:K06234",""
"ko:K06206",""
"ko:K07890",""
"ko:K01019","ko01100"
"ko:K10473",""
"ko:K09657","ko01100"
"ko:K08658","ko01110"
"ko:K12346",""
"ko:K07863","ko05135"
"ko:K12822","ko03040"
"ko:K01526",""
"ko:K07050",""
"ko:K00302","ko01100"
"ko:K13939","ko01240"
"ko:K20115",""
"ko:K07579",""
"ko:K05283","ko01100"
"ko:K06655","ko04138"
"ko:K03540",""
"ko:K16757",""
"ko:K18042",""
"ko:K10255","ko02020"
"ko:K10460",""
"ko:K15412","ko05168"
"ko:K07205","ko05231"
"ko:K10642",""
"ko:K12494","ko04361"
"ko:K10699","ko04120"
"ko:K04714","ko04071"
"ko:K19362",""
"ko:K06948",""
"ko:K04952","ko04744"
"ko:K06041","ko01250"
"ko:K11981","ko04144"
"ko:K01189","ko04142"
"ko:K03685","ko05205"
"ko:K11529","ko01200"
"ko:K14291","ko03013"
"ko:K05727",""
"ko:K14009","ko05165"
"ko:K02264","ko05415"
"ko:K12032",""
"ko:K09583",""
"ko:K01048","ko00564"
"ko:K08155","ko05034"
"ko:K20724","ko03013"
"ko:K21618","ko01100"
"ko:K15278",""
"ko:K02834",""
"ko:K11559",""
"ko:K20661",""
"ko:K08764","ko04146"
"ko:K15670","ko01052"
"ko:K10444",""
"ko:K22303",""
"ko:K01286",""
"ko:K17947","ko01250"
"ko:K11270",""
"ko:K01130","ko01100"
"ko:K01437","ko01100"
"ko:K20072",""
"ko:K17478",""
"ko:K18035",""
"ko:K06994",""
"ko:K13985","ko04723"
"ko:K14763",""
"ko:K01787","ko01100"
"ko:K07110",""
"ko:K11318",""
"ko:K06569",""
"ko:K01473","ko01100"
"ko:K14850",""
"ko:K00772","ko01100"
"ko:K02549","ko01240"
"ko:K17824",""
"ko:K11860",""
"ko:K04044",""
"ko:K08849","ko05132"
"ko:K12892","ko05168"
"ko:K01014","ko05204"
"ko:K03770",""
"ko:K14513","ko04075"
"ko:K06091","ko05165"
"ko:K17412",""
"ko:K01800","ko01120"
"ko:K10265",""
"ko:K02979","ko05171"
"ko:K14858",""
"ko:K22038",""
"ko:K04780","ko01053"
"ko:K05285","ko01100"
"ko:K10223","ko04148"
"ko:K16343","ko04750"
"ko:K15198",""
"ko:K11358","ko01230"
"ko:K11339","ko03082"
"ko:K03284",""
"ko:K12584","ko03018"
"ko:K12301","ko04142"
"ko:K12300",""
"ko:K19993",""
"ko:K12365","ko05167"
"ko:K18192",""
"ko:K00504",""
"ko:K10578","ko05022"
"ko:K00945","ko01232"
"ko:K07335","ko02010"
"ko:K21027",""
"ko:K21596",""
"ko:K03324",""
"ko:K10687","ko04120"
"ko:K11721",""
"ko:K12184","ko04144"
"ko:K14085","ko04936"
"ko:K18426","ko01100"
"ko:K18179","ko04714"
"ko:K06126","ko01240"
"ko:K07891","ko04144"
"ko:K05502",""
"ko:K04257","ko04740"
"ko:K12597","ko03018"
"ko:K05307","ko01100"
"ko:K03732","ko03018"
"ko:K17265","ko04623"
"ko:K18457",""
"ko:K08242","ko01110"
"ko:K20754",""
"ko:K01071","ko01100"
"ko:K12804","ko04621"
"ko:K18674","ko01250"
"ko:K05855","ko05203"
"ko:K00055","ko01220"
"ko:K01317",""
"ko:K19657",""
"ko:K13481","ko01232"
"ko:K20216","ko04214"
"ko:K18266",""
"ko:K15162","ko04919"
"ko:K05207","ko04730"
"ko:K07232","ko01100"
"ko:K00668","ko01212"
"ko:K05583","ko01100"
"ko:K17618",""
"ko:K19730","ko05022"
"ko:K00452","ko01240"
"ko:K04838","ko04261"
"ko:K06115","ko04820"
"ko:K18734",""
"ko:K03144","ko05203"
"ko:K03726",""
"ko:K02359","ko04320"
"ko:K20604","ko04016"
"ko:K06051","ko05224"
"ko:K16449",""
"ko:K15287",""
"ko:K00589","ko01240"
"ko:K13647","ko01100"
"ko:K08865",""
"ko:K02913","ko03010"
"ko:K12075","ko05165"
"ko:K01963","ko01212"
"ko:K13523","ko04072"
"ko:K03084","ko04666"
"ko:K03430","ko01120"
"ko:K15454",""
"ko:K08604","ko05111"
"ko:K19403",""
"ko:K12389","ko04142"
"ko:K01165","ko05168"
"ko:K18666",""
"ko:K07030",""
"ko:K13703",""
"ko:K17759",""
"ko:K01056",""
"ko:K18170",""
"ko:K13021",""
"ko:K12195","ko04217"
"ko:K07112",""
"ko:K18164","ko04714"
"ko:K02367","ko01100"
"ko:K21792","ko01110"
"ko:K02370","ko01100"
"ko:K04462","ko05220"
"ko:K10328",""
"ko:K16750",""
"ko:K06612",""
"ko:K10366","ko05416"
"ko:K16524",""
"ko:K16283",""
"ko:K13956",""
"ko:K20541",""
"ko:K21762",""
"ko:K08856",""
"ko:K10412","ko05022"
"ko:K00354",""
"ko:K04246","ko04929"
"ko:K10569","ko03410"
"ko:K22376",""
"ko:K08821","ko05202"
"ko:K18819","ko01100"
"ko:K13623","ko00564"
"ko:K22464",""
"ko:K12166",""
"ko:K03547",""
"ko:K03448",""
"ko:K13526",""
"ko:K21814",""
"ko:K02342","ko03440"
"ko:K01029","ko01100"
"ko:K03652","ko03410"
"ko:K09423",""
"ko:K02649","ko05418"
"ko:K13459","ko04626"
"ko:K00746","ko01100"
"ko:K17948",""
"ko:K15266",""
"ko:K17543",""
"ko:K01719","ko01240"
"ko:K17808",""
"ko:K08504","ko04130"
"ko:K16358",""
"ko:K17043",""
"ko:K20655",""
"ko:K09646",""
"ko:K00575","ko02030"
"ko:K00277",""
"ko:K11744",""
"ko:K09701",""
"ko:K01411",""
"ko:K01656","ko01230"
"ko:K07447",""
"ko:K01319","ko05322"
"ko:K19127",""
"ko:K19332",""
"ko:K04525",""
"ko:K11979",""
"ko:K18806","ko05217"
"ko:K17781",""
"ko:K15202",""
"ko:K10253",""
"ko:K09564","ko03040"
"ko:K09966",""
"ko:K01217","ko04142"
"ko:K10664",""
"ko:K19580",""
"ko:K19496",""
"ko:K11536",""
"ko:K20404","ko04150"
"ko:K00273","ko04146"
"ko:K00571",""
"ko:K09398",""
"ko:K06543","ko05144"
"ko:K01347",""
"ko:K09203","ko05166"
"ko:K08859",""
"ko:K15507",""
"ko:K18999",""
"ko:K21435",""
"ko:K05659","ko04976"
"ko:K14676","ko00564"
"ko:K08848",""
"ko:K16122","ko01054"
"ko:K15362","ko03460"
"ko:K14574","ko03008"
"ko:K16353",""
"ko:K02316","ko03030"
"ko:K01796","ko04146"
"ko:K07101",""
"ko:K04630","ko05207"
"ko:K15922",""
"ko:K16264",""
"ko:K05466","ko05167"
"ko:K22314",""
"ko:K01134","ko04142"
"ko:K12946","ko03060"
"ko:K01023",""
"ko:K00966","ko01250"
"ko:K08793",""
"ko:K05988","ko01100"
"ko:K03110","ko03070"
"ko:K14822",""
"ko:K00329",""
"ko:K07809","ko00534"
"ko:K20280",""
"ko:K06841","ko04360"
"ko:K05356","ko01110"
"ko:K07820","ko01100"
"ko:K09478","ko01212"
"ko:K19357","ko01100"
"ko:K08681","ko01240"
"ko:K16289",""
"ko:K05735","ko05211"
"ko:K20726","ko04016"
"ko:K20102",""
"ko:K16066","ko01100"
"ko:K01658","ko02025"
"ko:K18678",""
"ko:K00018","ko01200"
"ko:K10743","ko03030"
"ko:K16738",""
"ko:K00283","ko01200"
"ko:K13414","ko04626"
"ko:K03761",""
"ko:K16868",""
"ko:K19800","ko04213"
"ko:K12668","ko04141"
"ko:K13676","ko00514"
"ko:K01903","ko01200"
"ko:K04088",""
"ko:K07977",""
"ko:K08331","ko05022"
"ko:K10125","ko02020"
"ko:K13350","ko04146"
"ko:K07524","ko04360"
"ko:K10734",""
"ko:K04900",""
"ko:K09117",""
"ko:K11152","ko01240"
"ko:K03541","ko01100"
"ko:K02914","ko03010"
"ko:K13899","ko04970"
"ko:K08131","ko05165"
"ko:K15381",""
"ko:K14487","ko04075"
"ko:K20780",""
"ko:K21029","ko04122"
"ko:K01142","ko03410"
"ko:K06644","ko04960"
"ko:K00794","ko01240"
"ko:K19865",""
"ko:K00146","ko01120"
"ko:K03858","ko01100"
"ko:K14964","ko04934"
"ko:K03367","ko05150"
"ko:K08488","ko04145"
"ko:K03504","ko03440"
"ko:K04788","ko01053"
"ko:K07705","ko02020"
"ko:K07258","ko01100"
"ko:K08460",""
"ko:K05573","ko01100"
"ko:K12182","ko04145"
"ko:K10803","ko03410"
"ko:K10646",""
"ko:K18283","ko05032"
"ko:K01617","ko01220"
"ko:K14831",""
"ko:K01235",""
"ko:K06491","ko05020"
"ko:K16369","ko01110"
"ko:K08751","ko04975"
"ko:K01372",""
"ko:K09562","ko04141"
"ko:K14305","ko05014"
"ko:K05190","ko05033"
"ko:K16571",""
"ko:K01583","ko01110"
"ko:K01340","ko05164"
"ko:K10175",""
"ko:K17493",""
"ko:K13373","ko04913"
"ko:K17434",""
"ko:K01757","ko01110"
"ko:K16362",""
"ko:K07546","ko01220"
"ko:K06550","ko04514"
"ko:K00557",""
"ko:K20332","ko02024"
"ko:K15865",""
"ko:K02701","ko01100"
"ko:K04527","ko05415"
"ko:K12887","ko03040"
"ko:K21760",""
"ko:K01233","ko01100"
"ko:K18587",""
"ko:K14839",""
"ko:K11463","ko03083"
"ko:K10445",""
"ko:K21817",""
"ko:K14405","ko03015"
"ko:K02237",""
"ko:K13189",""
"ko:K00719","ko01100"
"ko:K11380",""
"ko:K21929","ko03410"
"ko:K06113",""
"ko:K11964",""
"ko:K00775",""
"ko:K07962",""
"ko:K13144",""
"ko:K16584",""
"ko:K02049",""
"ko:K00570","ko01110"
"ko:K00727","ko01100"
"ko:K17892",""
"ko:K08659",""
"ko:K10461",""
"ko:K01518","ko01100"
"ko:K20302",""
"ko:K07847",""
"ko:K10744","ko03030"
"ko:K21706",""
"ko:K05909",""
"ko:K08321","ko02024"
"ko:K08571","ko05142"
"ko:K09519",""
"ko:K15451",""
"ko:K15199",""
"ko:K20185",""
"ko:K11801",""
"ko:K09800",""
"ko:K06564","ko04144"
"ko:K05973","ko01100"
"ko:K08496","ko04130"
"ko:K17960",""
"ko:K11429","ko01100"
"ko:K09598",""
"ko:K20225","ko05017"
"ko:K09775",""
"ko:K16428","ko01055"
"ko:K20457","ko01240"
"ko:K07465",""
"ko:K12462","ko04962"
"ko:K08124",""
"ko:K08497","ko04130"
"ko:K08963","ko01100"
"ko:K04945","ko04974"
"ko:K17615",""
"ko:K01292",""
"ko:K11527",""
"ko:K01659","ko01100"
"ko:K02406","ko05134"
"ko:K04612","ko04928"
"ko:K22410","ko04714"
"ko:K16771",""
"ko:K08664",""
"ko:K16013","ko02010"
"ko:K16681","ko04391"
"ko:K22399","ko04110"
"ko:K12871","ko03040"
"ko:K09509",""
"ko:K01442","ko01100"
"ko:K13429","ko04626"
"ko:K17662",""
"ko:K13837","ko05144"
"ko:K18027",""
"ko:K00790","ko01250"
"ko:K03442",""
"ko:K12549",""
"ko:K15336",""
"ko:K09807",""
"ko:K03927","ko00983"
"ko:K15152",""
"ko:K18596",""
"ko:K10842","ko03420"
"ko:K10483",""
"ko:K00543","ko01100"
"ko:K17929",""
"ko:K05121","ko05323"
"ko:K16175","ko05203"
"ko:K10300",""
"ko:K16907","ko02010"
"ko:K16174","ko05203"
"ko:K07293","ko05235"
"ko:K03849","ko01100"
"ko:K06330",""
"ko:K02035","ko02024"
"ko:K20897","ko04621"
"ko:K01083","ko01100"
"ko:K05110","ko04361"
"ko:K12757","ko05132"
"ko:K14167",""
"ko:K13299","ko05204"
"ko:K00500","ko01230"
"ko:K04790","ko01053"
"ko:K13517","ko01110"
"ko:K00030","ko01230"
"ko:K07527","ko04360"
"ko:K03437",""
"ko:K06085","ko04520"
"ko:K17569",""
"ko:K15179","ko03250"
"ko:K09511",""
"ko:K18747",""
"ko:K14708",""
"ko:K15148",""
"ko:K04082",""
"ko:K12127","ko04712"
"ko:K04080",""
"ko:K04903",""
"ko:K20636",""
"ko:K06071","ko05135"
"ko:K01231","ko01100"
"ko:K11533","ko04931"
"ko:K03875","ko05222"
"ko:K18618",""
"ko:K08486","ko04721"
"ko:K11151","ko01100"
"ko:K18163","ko04714"
"ko:K21286",""
"ko:K15044",""
"ko:K17974",""
"ko:K15149",""
"ko:K17578",""
"ko:K03140","ko03082"
"ko:K06070","ko05208"
"ko:K19548","ko01110"
"ko:K16480",""
"ko:K08886",""
"ko:K10648","ko05170"
"ko:K20393",""
"ko:K04125","ko01110"
"ko:K14332","ko01100"
"ko:K15439",""
"ko:K05274","ko04911"
"ko:K14003","ko04141"
"ko:K09773",""
"ko:K14789",""
"ko:K03137","ko05203"
"ko:K19302","ko00552"
"ko:K09648","ko03060"
"ko:K15716",""
"ko:K12015",""
"ko:K04988",""
"ko:K13836","ko05144"
"ko:K05011","ko04978"
"ko:K21842",""
"ko:K04440","ko05418"
"ko:K09936","ko02024"
"ko:K19694",""
"ko:K19323","ko05017"
"ko:K10877","ko03440"
"ko:K15190",""
"ko:K07520","ko04360"
"ko:K10215","ko01120"
"ko:K04378","ko05203"
"ko:K07975",""
"ko:K13880",""
"ko:K14328","ko03015"
"ko:K18041",""
"ko:K05728","ko05120"
"ko:K08609",""
"ko:K11414","ko01100"
"ko:K19246","ko01100"
"ko:K08579",""
"ko:K06966","ko01232"
"ko:K07461",""
"ko:K14491","ko04075"
"ko:K00072","ko01240"
"ko:K18661","ko01100"
"ko:K00154",""
"ko:K10663",""
"ko:K21407",""
"ko:K13248","ko01240"
"ko:K22200",""
"ko:K11230","ko04011"
"ko:K11236","ko04011"
"ko:K03954","ko05415"
"ko:K13917","ko03015"
"ko:K10809","ko05320"
"ko:K03766","ko01100"
"ko:K19660","ko01100"
"ko:K02853",""
"ko:K00054","ko01110"
"ko:K05287","ko01100"
"ko:K03142","ko05203"
"ko:K00493",""
"ko:K05996",""
"ko:K14620","ko04977"
"ko:K14323","ko03015"
"ko:K10323",""
"ko:K05645","ko02010"
"ko:K08240",""
"ko:K10341",""
"ko:K19909",""
"ko:K11160","ko04975"
"ko:K03820",""
"ko:K03702","ko03420"
"ko:K14501","ko04075"
"ko:K06718","ko01120"
"ko:K02220","ko04113"
"ko:K05189","ko05033"
"ko:K01474","ko01100"
"ko:K21195","ko01100"
"ko:K20643",""
"ko:K02175","ko04320"
"ko:K07559",""
"ko:K00091",""
"ko:K09531",""
"ko:K07177",""
"ko:K19625",""
"ko:K01562","ko04919"
"ko:K12482","ko04144"
"ko:K21625",""
"ko:K05607","ko01100"
"ko:K22070",""
"ko:K11437",""
"ko:K15224","ko03082"
"ko:K01533",""
"ko:K04199","ko04916"
"ko:K04592",""
"ko:K11445",""
"ko:K08017",""
"ko:K06795",""
"ko:K01468","ko01100"
"ko:K10281",""
"ko:K08023",""
"ko:K03307",""
"ko:K03660","ko03410"
"ko:K02182",""
"ko:K08631",""
"ko:K16059","ko04611"
"ko:K00923","ko05132"
"ko:K01374","ko04210"
"ko:K20717","ko04016"
"ko:K14812",""
"ko:K13352","ko04146"
"ko:K02208",""
"ko:K16282",""
"ko:K22101","ko01240"
"ko:K17659",""
"ko:K15235",""
"ko:K11101","ko05217"
"ko:K03026","ko04623"
"ko:K00129","ko01120"
"ko:K03559",""
"ko:K08204","ko04976"
"ko:K16061","ko05222"
"ko:K07765","ko04141"
"ko:K05438","ko04935"
"ko:K08296",""
"ko:K10640",""
"ko:K05693","ko04520"
"ko:K00148","ko01200"
"ko:K00338","ko01100"
"ko:K02982","ko03010"
"ko:K10717","ko01110"
"ko:K14758","ko03008"
"ko:K11263","ko01212"
"ko:K15686",""
"ko:K09931",""
"ko:K04975","ko04978"
"ko:K11177","ko01232"
"ko:K06254","ko04820"
"ko:K00930","ko01230"
"ko:K12792","ko04621"
"ko:K05729","ko05212"
"ko:K05094","ko05230"
"ko:K18810",""
"ko:K14721","ko04623"
"ko:K09359","ko04113"
"ko:K01291","ko04974"
"ko:K00150","ko01230"
"ko:K02613","ko01120"
"ko:K03512","ko03450"
"ko:K20274","ko02024"
"ko:K18235",""
"ko:K13832","ko01230"
"ko:K18834","ko04626"
"ko:K07912",""
"ko:K09453",""
"ko:K07753","ko04146"
"ko:K22155",""
"ko:K02551","ko01240"
"ko:K11373",""
"ko:K10837","ko00970"
"ko:K03510","ko03460"
"ko:K05399","ko05417"
"ko:K11244","ko04139"
"ko:K20543",""
"ko:K13238","ko00071"
"ko:K01945","ko01110"
"ko:K00285","ko01100"
"ko:K09258","ko04668"
"ko:K05575","ko01100"
"ko:K17746","ko01110"
"ko:K16573",""
"ko:K18630",""
"ko:K20046",""
"ko:K16904","ko01232"
"ko:K01118",""
"ko:K10112","ko02010"
"ko:K20283",""
"ko:K07795","ko02020"
"ko:K13133",""
"ko:K15691",""
"ko:K09650",""
"ko:K11940",""
"ko:K16897",""
"ko:K08466",""
"ko:K11558",""
"ko:K19370",""
"ko:K17839","ko01100"
"ko:K12179",""
"ko:K15082",""
"ko:K06131","ko01100"
"ko:K07966","ko01100"
"ko:K12306",""
"ko:K09209",""
"ko:K04072","ko05146"
"ko:K20464","ko04979"
"ko:K08991","ko03460"
"ko:K22244","ko05226"
"ko:K07738",""
"ko:K07401",""
"ko:K10295",""
"ko:K20498","ko01100"
"ko:K14400","ko03015"
"ko:K00032","ko01120"
"ko:K18078",""
"ko:K01563","ko01120"
"ko:K01928","ko01100"
"ko:K02608","ko04113"
"ko:K22320",""
"ko:K06857","ko02010"
"ko:K14635",""
"ko:K07003",""
"ko:K10477",""
"ko:K16194","ko05168"
"ko:K10449",""
"ko:K08964","ko01100"
"ko:K19366","ko04144"
"ko:K02805","ko01250"
"ko:K00491","ko01110"
"ko:K05941",""
"ko:K17079","ko05017"
"ko:K15680","ko05204"
"ko:K05464","ko04148"
"ko:K03005","ko03020"
"ko:K03909","ko04610"
"ko:K17505",""
"ko:K01302",""
"ko:K18364","ko01220"
"ko:K15206",""
"ko:K12399","ko04142"
"ko:K12838","ko03040"
"ko:K20474",""
